Area,BuildStruc,BuildType,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
64.16㎡,钢混结构,塔楼,西朱新村,精装,暂无数据,低楼层 (共12层),24,南,,宝山,淞宝,,235,2室1厅1厨1卫,36628
48.35㎡,砖混结构,板楼,海滨三村,精装,无,高楼层 (共5层),89,南,,宝山,淞宝,,180,2室0厅1厨1卫,37229
66.25㎡,砖混结构,板楼,淞南老五村,精装,无,高楼层 (共6层),23,南,,宝山,淞南,,280,2室1厅1厨1卫,42265
50.57㎡,砖混结构,板楼,泗塘二村,简装,无,高楼层 (共5层),6,南,,宝山,张庙,,195,2室1厅1厨1卫,38561
100㎡,砖混结构,板楼,菊泉新村,精装,无,低楼层 (共6层),6,南,,宝山,顾村,,330,3室1厅1厨1卫,33000
58.81㎡,砖混结构,板楼,宝城三村,简装,无,中楼层 (共6层),3,南,,宝山,淞宝,,250,1室1厅1厨1卫,42510
82㎡,钢混结构,板楼,绿地海域笙晖(公寓),精装,有,高楼层 (共16层),28,南,,宝山,杨行,,380,2室2厅1厨1卫,46342
78.63㎡,钢混结构,板楼,馨佳园(韶山路245弄),精装,有,高楼层 (共6层),24,南,,宝山,顾村,,335,2室1厅1厨1卫,42605
56.45㎡,砖混结构,板楼,永清二村,简装,无,高楼层 (共6层),2,南 北,,宝山,淞宝,,210,2室1厅1厨1卫,37202
93.04㎡,砖混结构,板楼,乾溪新村,其他,无,低楼层 (共6层),3,南,,宝山,大场镇,,400,2室2厅1厨1卫,42993
94.97㎡,钢混结构,板楼,成事高邸,精装,无,低楼层 (共6层),10,南,,宝山,上大,,465,2室2厅1厨1卫,48963
50.15㎡,砖混结构,板楼,乾溪新村,简装,无,中楼层 (共5层),28,南,,宝山,大场镇,,202,1室1厅1厨1卫,40280
82.47㎡,钢混结构,板楼,旭辉依云湾,精装,有,中楼层 (共14层),6,南,,宝山,顾村,,370,2室2厅1厨1卫,44865
127.77㎡,钢混结构,板楼,惠阳苑,毛坯,无,高楼层 (共6层),10,南,,宝山,月浦,,300,3室2厅1厨1卫,23480
100.79㎡,钢混结构,板楼,圣卡洛铂庭,精装,有,中楼层 (共14层),16,南,,宝山,顾村,,360,2室1厅1厨1卫,35718
