Area,CompName,Decoration,Elevator,Floor,Focus,Orientation,Pubdate,Region1,Region2,Remarks,TotlePrice,Type,UnitPrice
83.73㎡,旭辉澜悦湾,精装,有,高楼层 (共18层),40,南,,宝山,罗泾,,215,3室2厅1厨1卫,25678
,,,,,,,,,,,,,
48.27㎡,宝钢十一村,简装,无,高楼层 (共6层),14,南,,宝山,淞宝,,190,2室1厅1厨1卫,39362
,,,,,,,,,,,,,
125.03㎡,旭辉依云湾,精装,有,低楼层 (共11层),8,南 北,,宝山,顾村,,520,3室2厅1厨1卫,41591
,,,,,,,,,,,,,
58.18㎡,南大路180弄,其他,无,中楼层 (共6层),1,南,,宝山,大场镇,,220,2室2厅1厨1卫,37814
,,,,,,,,,,,,,
85.42㎡,星福家园,精装,无,高楼层 (共6层),79,南,,宝山,上大,,372,2室2厅1厨1卫,43550
,,,,,,,,,,,,,
134.07㎡,水韵华庭,精装,有,低楼层 (共14层),25,南,,宝山,大华,,730,3室2厅1厨2卫,54450
,,,,,,,,,,,,,
43.91㎡,宝林四村,简装,无,中楼层 (共6层),0,南,,宝山,淞宝,,165,1室1厅1厨1卫,37577
,,,,,,,,,,,,,
93.57㎡,共富一村,简装,无,中楼层 (共6层),7,南,,宝山,共富,,355,2室2厅1厨1卫,37940
,,,,,,,,,,,,,
47.95㎡,淞南七村,简装,无,中楼层 (共6层),13,南,,宝山,淞南,,190,1室1厅1厨1卫,39625
,,,,,,,,,,,,,
125.94㎡,逸兴家园,精装,无,中楼层 (共6层),39,南,,宝山,淞南,,566,3室2厅1厨2卫,44943
,,,,,,,,,,,,,
94.89㎡,共富一村,简装,无,低楼层 (共6层),27,南 北,,宝山,共富,,374,3室1厅1厨1卫,39415
,,,,,,,,,,,,,
90.43㎡,四季绿城,精装,有,中楼层 (共14层),17,南 北,,宝山,高境,,490,2室2厅1厨2卫,54186
,,,,,,,,,,,,,
100.41㎡,枫庭丽苑,精装,无,低楼层 (共6层),73,南 北,,宝山,大华,,529,3室2厅1厨1卫,52684
,,,,,,,,,,,,,
128.47㎡,东方丽都,精装,无,低楼层 (共5层),72,南,,宝山,杨行,,430,3室2厅1厨2卫,33471
,,,,,,,,,,,,,
77.15㎡,高境一村,简装,无,低楼层 (共6层),207,南 北,,宝山,高境,,335,3室1厅1厨1卫,43422
,,,,,,,,,,,,,
76.42㎡,馨佳园(菊泉街1398弄),精装,有,高楼层 (共18层),3,南,,宝山,顾村,,300,2室2厅1厨1卫,39257
,,,,,,,,,,,,,
110㎡,逸仙华庭,精装,无,低楼层 (共6层),21,南 北,,宝山,高境,,700,3室2厅1厨1卫,63637
,,,,,,,,,,,,,
66.18㎡,大华三村二街坊,简装,无,低楼层 (共6层),7,南,,宝山,大华,,332,2室1厅1厨1卫,50167
,,,,,,,,,,,,,
76.74㎡,文宝苑,简装,有,中楼层 (共11层),36,南,,宝山,顾村,,350,2室2厅1厨1卫,45609
,,,,,,,,,,,,,
116.38㎡,中环一号(一期),精装,有,中楼层 (共13层),185,南,,宝山,大华,,580,3室2厅1厨1卫,49837
